Gene,locus_tag(gene),old_locus_tag(gene),locus_tag(cds),old_locus_tag(cds),codonStart,translTable,product,protein _id,Unnamed: 9
gene=4197719..4199251,"locus_tag=""MXAN_RS17470""","old_locus_tag=""MXAN_3601""","locus_tag=""MXAN_RS17470""","old_locus_tag=""MXAN_3601""",codon_start=1,transl_table=11,"product=""ATP-binding protein""","protein_id=""WP_020479239.1"" ",
gene=4199289..4202144,"locus_tag=""MXAN_RS17475""","old_locus_tag=""MXAN_3602""","locus_tag=""MXAN_RS17475""","old_locus_tag=""MXAN_3602""",codon_start=1,transl_table=11,"product=""Z1 domain-containing protein""","protein_id=""WP_011553625.1"" ",
gene=4202141..4203145,"locus_tag=""MXAN_RS36820""","old_locus_tag=""MXAN_3603""","locus_tag=""MXAN_RS36820""","old_locus_tag=""MXAN_3603""",codon_start=1,transl_table=11,"protein_id=""WP_074960307.1"" ",,
gene=4203148..4205295,"locus_tag=""MXAN_RS17490""","old_locus_tag=""MXAN_3604""","locus_tag=""MXAN_RS17490""","old_locus_tag=""MXAN_3604""",codon_start=1,transl_table=11,"product=""AIPR family protein""","protein_id=""WP_020479242.1"" ",
gene=complement(4205488..4206099),"locus_tag=""MXAN_RS38405""",,"locus_tag=""MXAN_RS38405""",,codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_171452397.1"" ",
gene=complement(4206096..4206677),"locus_tag=""MXAN_RS36825""","old_locus_tag=""MXAN_3605""","locus_tag=""MXAN_RS36825""","old_locus_tag=""MXAN_3605""",codon_start=1,transl_table=11,"product=""response regulator transcription factor""","protein_id=""WP_011553628.1"" ",
gene=complement(4206674..4208764),"locus_tag=""MXAN_RS36830""","old_locus_tag=""MXAN_3606""","locus_tag=""MXAN_RS36830""","old_locus_tag=""MXAN_3606""",codon_start=1,transl_table=11,"product=""sensor histidine kinase""","protein_id=""WP_167545726.1"" ",
gene=4209761..4211071,"locus_tag=""MXAN_RS17500""","old_locus_tag=""MXAN_3607""","locus_tag=""MXAN_RS17500""","old_locus_tag=""MXAN_3607""",codon_start=1,transl_table=11,"protein_id=""WP_011552185.1"" ",,
gene=complement(4211245..>4211688),"locus_tag=""MXAN_RS17505""",,"locus_tag=""MXAN_RS17505""",,codon_start=1,,"product=""integrase core domain-containing protein"" ",,
gene=4211964..4212413,"locus_tag=""MXAN_RS38170""","old_locus_tag=""MXAN_3609""","locus_tag=""MXAN_RS38170""","old_locus_tag=""MXAN_3609""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_167545716.1"" ",
gene=complement(4212522..4213283),"locus_tag=""MXAN_RS17510""","old_locus_tag=""MXAN_3611""","locus_tag=""MXAN_RS17510""","old_locus_tag=""MXAN_3611""",codon_start=1,transl_table=11,"product=""IS21-like element helper ATPase IstB""","protein_id=""WP_011552247.1"" ",
gene=complement(4213467..4215005),"locus_tag=""MXAN_RS17515""","old_locus_tag=""MXAN_3612""","locus_tag=""MXAN_RS17515""","old_locus_tag=""MXAN_3612""",codon_start=1,transl_table=11,"product=""IS21 family transposase""","protein_id=""WP_011552246.1"" ",
gene=4215249..4216754,"locus_tag=""MXAN_RS17520""","old_locus_tag=""MXAN_3613""","locus_tag=""MXAN_RS17520""","old_locus_tag=""MXAN_3613""",codon_start=1,transl_table=11,"product=""IS21 family transposase""","protein_id=""WP_011553633.1"" ",
gene=4216751..4217512,"locus_tag=""MXAN_RS17525""","old_locus_tag=""MXAN_3614""","locus_tag=""MXAN_RS17525""","old_locus_tag=""MXAN_3614""",codon_start=1,transl_table=11,"product=""IS21-like element helper ATPase IstB""","protein_id=""WP_011553634.1"" ",
gene=complement(<4217695..>4217931),"locus_tag=""MXAN_RS37715""",,"locus_tag=""MXAN_RS37715""",,,,,,
gene=4218061..4219278,"locus_tag=""MXAN_RS36845""","old_locus_tag=""MXAN_3615""","locus_tag=""MXAN_RS36845""","old_locus_tag=""MXAN_3615""",codon_start=1,transl_table=11,"product=""IS701 family transposase""","protein_id=""WP_020479264.1"" ",
gene=complement(<4219467..>4219637),"locus_tag=""MXAN_RS38755""",,"locus_tag=""MXAN_RS38755""",,codon_start=1,,"product=""IS3 family transposase"" ",,
gene=complement(4220394..4234097),"locus_tag=""MXAN_RS17545""","old_locus_tag=""MXAN_3618""","locus_tag=""MXAN_RS17545""","old_locus_tag=""MXAN_3618""",codon_start=1,transl_table=11,"product=""non-ribosomal peptide synthetase""","protein_id=""WP_011553636.1"" ",
gene=complement(4234158..4238765),"locus_tag=""MXAN_RS17550""","old_locus_tag=""MXAN_3619""","locus_tag=""MXAN_RS17550""","old_locus_tag=""MXAN_3619""",codon_start=1,transl_table=11,"product=""type I polyketide synthase""","protein_id=""WP_225909262.1"" ",
gene=4239280..4243803,"locus_tag=""MXAN_RS17555""","old_locus_tag=""MXAN_3620""","locus_tag=""MXAN_RS17555""","old_locus_tag=""MXAN_3620""",codon_start=1,transl_table=11,"product=""type I polyketide synthase""","protein_id=""WP_011553638.1"" ",
gene=4243859..4247053,"locus_tag=""MXAN_RS17560""","old_locus_tag=""MXAN_3621""","locus_tag=""MXAN_RS17560""","old_locus_tag=""MXAN_3621""",codon_start=1,transl_table=11,"product=""type I polyketide synthase""","protein_id=""WP_020478747.1"" ",
gene=complement(4247155..4248393),"locus_tag=""MXAN_RS17565""","old_locus_tag=""MXAN_3622""","locus_tag=""MXAN_RS17565""","old_locus_tag=""MXAN_3622""",codon_start=1,transl_table=11,"product=""GNAT family N-acetyltransferase""","protein_id=""WP_011553640.1"" ",
gene=complement(4248425..4249111),"locus_tag=""MXAN_RS17570""","old_locus_tag=""MXAN_3623""","locus_tag=""MXAN_RS17570""","old_locus_tag=""MXAN_3623""",codon_start=1,transl_table=11,"product=""glutathione S-transferase""","protein_id=""WP_011553641.1"" ",
gene=4249183..4251489,"locus_tag=""MXAN_RS17575""","old_locus_tag=""MXAN_3624""","locus_tag=""MXAN_RS17575""","old_locus_tag=""MXAN_3624""",codon_start=1,transl_table=11,"product=""lantibiotic dehydratase""","protein_id=""WP_225909263.1"" ",
gene=4251546..4252985,"locus_tag=""MXAN_RS17580""","old_locus_tag=""MXAN_3625""","locus_tag=""MXAN_RS17580""","old_locus_tag=""MXAN_3625""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_011553643.1"" ",
gene=complement(4253001..4253867),"locus_tag=""MXAN_RS17585""","old_locus_tag=""MXAN_3626""","locus_tag=""MXAN_RS17585""","old_locus_tag=""MXAN_3626""",codon_start=1,transl_table=11,"product=""cupin-like domain-containing protein""","protein_id=""WP_011553644.1"" ",
gene=complement(4253890..4254213),"locus_tag=""MXAN_RS17590""","old_locus_tag=""MXAN_3627""","locus_tag=""MXAN_RS17590""","old_locus_tag=""MXAN_3627""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_011553645.1"" ",
gene=complement(4254240..4254992),"locus_tag=""MXAN_RS17595""","old_locus_tag=""MXAN_3628""","locus_tag=""MXAN_RS17595""","old_locus_tag=""MXAN_3628""",codon_start=1,transl_table=11,"product=""thioesterase II family protein""","protein_id=""WP_011553646.1"" ",
gene=complement(4254989..4256266),"locus_tag=""MXAN_RS17600""","old_locus_tag=""MXAN_3629""","locus_tag=""MXAN_RS17600""","old_locus_tag=""MXAN_3629""",codon_start=1,transl_table=11,"product=""glycosyltransferase family 4 protein""","protein_id=""WP_011553647.1"" ",
gene=complement(4256301..4259381),"locus_tag=""MXAN_RS17605""","old_locus_tag=""MXAN_3630""","locus_tag=""MXAN_RS17605""","old_locus_tag=""MXAN_3630""",codon_start=1,transl_table=11,"product=""type I polyketide synthase""","protein_id=""WP_011553648.1"" ",
gene=complement(4259400..4264004),"locus_tag=""MXAN_RS17610""","old_locus_tag=""MXAN_3631""","locus_tag=""MXAN_RS17610""","old_locus_tag=""MXAN_3631""",codon_start=1,transl_table=11,"product=""type I polyketide synthase""","protein_id=""WP_020478745.1"" ",
gene=complement(4264151..4265182),"locus_tag=""MXAN_RS17615""","old_locus_tag=""MXAN_3632""","locus_tag=""MXAN_RS17615""","old_locus_tag=""MXAN_3632""",codon_start=1,transl_table=11,"product=""LLM class flavin-dependent oxidoreductase""","protein_id=""WP_011553650.1"" ",
gene=complement(4265412..4266860),"locus_tag=""MXAN_RS17620""","old_locus_tag=""MXAN_3633""","locus_tag=""MXAN_RS17620""","old_locus_tag=""MXAN_3633""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_011553651.1"" ",
gene=4267162..4284318,"locus_tag=""MXAN_RS17625""","old_locus_tag=""MXAN_3634""","locus_tag=""MXAN_RS17625""","old_locus_tag=""MXAN_3634""",codon_start=1,transl_table=11,"protein_id=""WP_225909264.1"" ",,
gene=4284311..4297456,"locus_tag=""MXAN_RS17630""","old_locus_tag=""MXAN_3635""","locus_tag=""MXAN_RS17630""","old_locus_tag=""MXAN_3635""",codon_start=1,transl_table=11,"protein_id=""WP_020480779.1"" ",,
gene=4297460..4333279,"locus_tag=""MXAN_RS36330""","old_locus_tag=""MXAN_3636""","locus_tag=""MXAN_RS36330""","old_locus_tag=""MXAN_3636""",codon_start=1,transl_table=11,"protein_id=""WP_011553654.1"" ",,
gene=complement(4333309..4334601),"locus_tag=""MXAN_RS17645""","old_locus_tag=""MXAN_3637""","locus_tag=""MXAN_RS17645""","old_locus_tag=""MXAN_3637""",codon_start=1,transl_table=11,"product=""ELWxxDGT repeat protein""","protein_id=""WP_225909265.1"" ",
gene=4334984..4336906,"locus_tag=""MXAN_RS17650""","old_locus_tag=""MXAN_3638""","locus_tag=""MXAN_RS17650""","old_locus_tag=""MXAN_3638""",codon_start=1,transl_table=11,"product=""membrane dipeptidase""","protein_id=""WP_011553656.1"" ",
gene=4337073..4337888,"locus_tag=""MXAN_RS17655""","old_locus_tag=""MXAN_3639""","locus_tag=""MXAN_RS17655""","old_locus_tag=""MXAN_3639""",codon_start=1,transl_table=11,"product=""siderophore-interacting protein""","protein_id=""WP_011553657.1"" ",
gene=complement(4337885..4339159),"locus_tag=""MXAN_RS17660""","old_locus_tag=""MXAN_3640""","locus_tag=""MXAN_RS17660""","old_locus_tag=""MXAN_3640""",codon_start=1,transl_table=11,"product=""myxochelin B biosynthesis transaminase MxcL""","protein_id=""WP_011553658.1"" ",
gene=complement(4339198..4340424),"locus_tag=""MXAN_RS17665""","old_locus_tag=""MXAN_3641""","locus_tag=""MXAN_RS17665""","old_locus_tag=""MXAN_3641""",codon_start=1,transl_table=11,"product=""myxochelin export MFS transporter MxcK""","protein_id=""WP_011553659.1"" ",
gene=complement(4340441..4341793),"locus_tag=""MXAN_RS17670""","old_locus_tag=""MXAN_3642""","locus_tag=""MXAN_RS17670""","old_locus_tag=""MXAN_3642""",codon_start=1,transl_table=11,"product=""class II 3-deoxy-7-phosphoheptulonate synthase""","protein_id=""WP_011553660.1"" ",
gene=complement(4341790..4346130),"locus_tag=""MXAN_RS17675""","old_locus_tag=""MXAN_3643""","locus_tag=""MXAN_RS17675""","old_locus_tag=""MXAN_3643""",codon_start=1,transl_table=11,"product=""myxochelin non-ribosomal peptide synthetaseMxcG""","protein_id=""WP_020478742.1"" ",
gene=complement(4346191..4347090),"locus_tag=""MXAN_RS17680""","old_locus_tag=""MXAN_3644""","locus_tag=""MXAN_RS17680""","old_locus_tag=""MXAN_3644""",codon_start=1,transl_table=11,"product=""isochorismatase family protein""","protein_id=""WP_011553662.1"" ",
gene=complement(4347103..4348749),"locus_tag=""MXAN_RS17685""","old_locus_tag=""MXAN_3645""","locus_tag=""MXAN_RS17685""","old_locus_tag=""MXAN_3645""",codon_start=1,transl_table=11,"product=""(2,3-dihydroxybenzoyl)adenylate synthase""","protein_id=""WP_011553663.1"" ",
gene=complement(4348746..4349990),"locus_tag=""MXAN_RS17690""","old_locus_tag=""MXAN_3646""","locus_tag=""MXAN_RS17690""","old_locus_tag=""MXAN_3646""",codon_start=1,transl_table=11,"product=""isochorismate synthase DhbC""","protein_id=""WP_011553664.1"" ",
gene=complement(4350102..4350875),"locus_tag=""MXAN_RS17695""","old_locus_tag=""MXAN_3647""","locus_tag=""MXAN_RS17695""","old_locus_tag=""MXAN_3647""",codon_start=1,transl_table=11,"product=""2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase""","protein_id=""WP_011553665.1"" ",
gene=4351239..4353626,"locus_tag=""MXAN_RS17700""","old_locus_tag=""MXAN_3648""","locus_tag=""MXAN_RS17700""","old_locus_tag=""MXAN_3648""",codon_start=1,transl_table=11,"product=""ABC transporter permease""","protein_id=""WP_026114229.1"" ",
gene=4353768..4354295,"locus_tag=""MXAN_RS17705""","old_locus_tag=""MXAN_3649""","locus_tag=""MXAN_RS17705""","old_locus_tag=""MXAN_3649""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_225909266.1"" ",
gene=complement(4354317..4356797),"locus_tag=""MXAN_RS17710""","old_locus_tag=""MXAN_3650""","locus_tag=""MXAN_RS17710""","old_locus_tag=""MXAN_3650""",codon_start=1,transl_table=11,"product=""ABC transporter permease""","protein_id=""WP_020478741.1"" ",
gene=complement(4356885..4357205),"locus_tag=""MXAN_RS17715""","old_locus_tag=""MXAN_3651""","locus_tag=""MXAN_RS17715""","old_locus_tag=""MXAN_3651""",codon_start=1,transl_table=11,"product=""YetF domain-containing protein""","protein_id=""WP_020478740.1"" ",
gene=4357303..4358457,"locus_tag=""MXAN_RS17720""","old_locus_tag=""MXAN_3652""","locus_tag=""MXAN_RS17720""","old_locus_tag=""MXAN_3652""",codon_start=1,transl_table=11,"product=""enolase C-terminal domain-like protein""","protein_id=""WP_011553670.1"" ",
gene=complement(4358492..4361695),"locus_tag=""MXAN_RS17725""","old_locus_tag=""MXAN_3653""","locus_tag=""MXAN_RS17725""","old_locus_tag=""MXAN_3653""",codon_start=1,transl_table=11,"product=""FAD-binding and (Fe-S)-binding domain-containingprotein""","protein_id=""WP_011553671.1"" ",
gene=4361930..4363714,"locus_tag=""MXAN_RS17730""","old_locus_tag=""MXAN_3654""","locus_tag=""MXAN_RS17730""","old_locus_tag=""MXAN_3654""",codon_start=1,transl_table=11,"product=""thiamine pyrophosphate-requiring protein""","protein_id=""WP_011553672.1"" ",
gene=complement(4363850..4367236),"locus_tag=""MXAN_RS17735""","old_locus_tag=""MXAN_3656""","locus_tag=""MXAN_RS17735""","old_locus_tag=""MXAN_3656""",codon_start=1,transl_table=11,"product=""DUF4082 domain-containing protein""","protein_id=""WP_044274636.1"" ",
gene=4367511..4368221,"locus_tag=""MXAN_RS17740""","old_locus_tag=""MXAN_3657""","locus_tag=""MXAN_RS17740""","old_locus_tag=""MXAN_3657""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_011553675.1"" ",
gene=complement(4368352..4369071),"locus_tag=""MXAN_RS17745""","old_locus_tag=""MXAN_3658""","locus_tag=""MXAN_RS17745""","old_locus_tag=""MXAN_3658""",codon_start=1,transl_table=11,"product=""YafY family protein""","protein_id=""WP_011553676.1"" ",
gene=4369150..4369578,"locus_tag=""MXAN_RS17750""","old_locus_tag=""MXAN_3659""","locus_tag=""MXAN_RS17750""","old_locus_tag=""MXAN_3659""",codon_start=1,transl_table=11,"product=""VOC family protein""","protein_id=""WP_020478147.1"" ",
gene=4369603..4370163,"locus_tag=""MXAN_RS17755""","old_locus_tag=""MXAN_3660""","locus_tag=""MXAN_RS17755""","old_locus_tag=""MXAN_3660""",codon_start=1,transl_table=11,"product=""YdeI family protein""","protein_id=""WP_011553678.1"" ",
gene=complement(4370215..4371105),"locus_tag=""MXAN_RS17760""","old_locus_tag=""MXAN_3661""","locus_tag=""MXAN_RS17760""","old_locus_tag=""MXAN_3661""",codon_start=1,transl_table=11,"product=""GNAT family N-acetyltransferase""","protein_id=""WP_011553679.1"" ",
gene=complement(4371214..4372218),"locus_tag=""MXAN_RS17765""","old_locus_tag=""MXAN_3662""","locus_tag=""MXAN_RS17765""","old_locus_tag=""MXAN_3662""",codon_start=1,transl_table=11,"product=""formylglycine-",,
"generating enzyme family protein""","protein_id=""WP_011553680.1"" ","protein_id=""WP_011553680.1"" ","protein_id=""WP_011553680.1"" ","protein_id=""WP_011553680.1"" ",,,,,
gene=4372413..4373555,"locus_tag=""MXAN_RS17770""","old_locus_tag=""MXAN_3663""","locus_tag=""MXAN_RS17770""","old_locus_tag=""MXAN_3663""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_216608549.1"" ",
gene=complement(4373597..4374214),"locus_tag=""MXAN_RS17775""","old_locus_tag=""MXAN_3664""","locus_tag=""MXAN_RS17775""","old_locus_tag=""MXAN_3664""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_225909267.1""","note=""guanidine-III (ykkC-III) riboswitch; guanidineriboswitches control "
genes whose products are involved inmodification or pumping out guanidine as a toxic compoundfrom bacteria; this is a third class of guanidineriboswitches based on ykkC-III RNA motif; Derived byautomated computational analysis using ,,,,,,,,,
"gene predictionmethod: cmsearch."" ",,,,,,,,,
gene=4374503..4374823,"locus_tag=""MXAN_RS17780""","old_locus_tag=""MXAN_3665""","locus_tag=""MXAN_RS17780""","old_locus_tag=""MXAN_3665""",codon_start=1,transl_table=11,"product=""quaternary ammonium compound efflux SMRtransporter SugE""","protein_id=""WP_011553683.1"" ",
gene=4374885..4376084,"locus_tag=""MXAN_RS17785""","old_locus_tag=""MXAN_3666""","locus_tag=""MXAN_RS17785""","old_locus_tag=""MXAN_3666""",codon_start=1,transl_table=11,"product=""MBL fold metallo-hydrolase""","protein_id=""WP_020478146.1"" ",
gene=4376259..4376960,"locus_tag=""MXAN_RS17790""","old_locus_tag=""MXAN_3667""","locus_tag=""MXAN_RS17790""","old_locus_tag=""MXAN_3667""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_225909268.1"" ",
gene=4377212..4378744,"locus_tag=""MXAN_RS17795""","old_locus_tag=""MXAN_3668""","locus_tag=""MXAN_RS17795""","old_locus_tag=""MXAN_3668""",codon_start=1,transl_table=11,"product=""methyl-accepting chemotaxis protein""","protein_id=""WP_011553686.1"" ",
gene=complement(4378916..4379185),"locus_tag=""MXAN_RS17800""","old_locus_tag=""MXAN_3670""","locus_tag=""MXAN_RS17800""","old_locus_tag=""MXAN_3670""",codon_start=1,transl_table=11,"product=""DUF2277 domain-containing protein""","protein_id=""WP_026114134.1"" ",
gene=complement(4379228..4382314),"locus_tag=""MXAN_RS17805""","old_locus_tag=""MXAN_3671""","locus_tag=""MXAN_RS17805""","old_locus_tag=""MXAN_3671""",codon_start=1,transl_table=11,"product=""efflux RND transporter permease subunit""","protein_id=""WP_011553689.1"" ",
gene=complement(4382320..4383882),"locus_tag=""MXAN_RS17810""","old_locus_tag=""MXAN_3672""","locus_tag=""MXAN_RS17810""","old_locus_tag=""MXAN_3672""",codon_start=1,transl_table=11,"product=""efflux RND transporter periplasmic adaptorsubunit""","protein_id=""WP_011553690.1"" ",
gene=complement(4383883..4384152),"locus_tag=""MXAN_RS17815""","old_locus_tag=""MXAN_3673""","locus_tag=""MXAN_RS17815""","old_locus_tag=""MXAN_3673""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_020478144.1"" ",
gene=complement(4384308..4384610),"locus_tag=""MXAN_RS17820""","old_locus_tag=""MXAN_3674""","locus_tag=""MXAN_RS17820""","old_locus_tag=""MXAN_3674""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_011553692.1"" ",
gene=complement(4384645..4385154),"locus_tag=""MXAN_RS17825""","old_locus_tag=""MXAN_3675""","locus_tag=""MXAN_RS17825""","old_locus_tag=""MXAN_3675""",codon_start=1,transl_table=11,"product=""TlpA disulfide reductase family protein""","protein_id=""WP_011553693.1"" ",
gene=complement(4385250..4387253),"locus_tag=""MXAN_RS17830""","old_locus_tag=""MXAN_3676""","locus_tag=""MXAN_RS17830""","old_locus_tag=""MXAN_3676""",codon_start=1,transl_table=11,"product=""M36 family metallopeptidase""","protein_id=""WP_225909269.1"" ",
gene=complement(4387512..4389002),"locus_tag=""MXAN_RS17835""","old_locus_tag=""MXAN_3677""","locus_tag=""MXAN_RS17835""","old_locus_tag=""MXAN_3677""",codon_start=1,transl_table=11,"product=""MFS transporter""","protein_id=""WP_011553695.1"" ",
gene=4389209..4390207,"locus_tag=""MXAN_RS17840""","old_locus_tag=""MXAN_3678""","locus_tag=""MXAN_RS17840""","old_locus_tag=""MXAN_3678""",codon_start=1,transl_table=11,"product=""polyprenyl synthetase family protein""","protein_id=""WP_011553696.1"" ",
gene=4390204..4390800,"locus_tag=""MXAN_RS17845""","old_locus_tag=""MXAN_3679""","locus_tag=""MXAN_RS17845""","old_locus_tag=""MXAN_3679""",codon_start=1,transl_table=11,"protein_id=""WP_011553697.1"" ",,
gene=4390821..4391342,"locus_tag=""MXAN_RS17850""","old_locus_tag=""MXAN_3680""","locus_tag=""MXAN_RS17850""","old_locus_tag=""MXAN_3680""",codon_start=1,transl_table=11,"product=""gamma-glutamylcyclotransferase""","protein_id=""WP_011553698.1"" ",
gene=complement(4391547..4391756),"locus_tag=""MXAN_RS17855""",,"locus_tag=""MXAN_RS17855""",,codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_020478143.1"" ",
gene=complement(4392545..4394749),"locus_tag=""MXAN_RS17860""","old_locus_tag=""MXAN_3682""","locus_tag=""MXAN_RS17860""","old_locus_tag=""MXAN_3682""",codon_start=1,transl_table=11,"product=""1,4-alpha-glucan branching protein GlgB""","protein_id=""WP_011553700.1"" ",
gene=complement(4394746..4396080),"locus_tag=""MXAN_RS17865""","old_locus_tag=""MXAN_3683""","locus_tag=""MXAN_RS17865""","old_locus_tag=""MXAN_3683""",codon_start=1,transl_table=11,"product=""phosphotransferase""","protein_id=""WP_011553701.1"" ",
gene=complement(4396077..4397732),"locus_tag=""MXAN_RS17870""","old_locus_tag=""MXAN_3684""","locus_tag=""MXAN_RS17870""","old_locus_tag=""MXAN_3684""",codon_start=1,transl_table=11,"product=""maltose alpha-D-glucosyltransferase""","protein_id=""WP_011553702.1"" ",
gene=complement(4397749..4399746),"locus_tag=""MXAN_RS17875""","old_locus_tag=""MXAN_3685""","locus_tag=""MXAN_RS17875""","old_locus_tag=""MXAN_3685""",codon_start=1,transl_table=11,"product=""alpha-1,4-glucan--maltose-1-phosphatemaltosyltransferase""","protein_id=""WP_011553703.1"" ",
gene=4399967..4400566,"locus_tag=""MXAN_RS17880""","old_locus_tag=""MXAN_3686""","locus_tag=""MXAN_RS17880""","old_locus_tag=""MXAN_3686""",codon_start=1,transl_table=11,"product=""sigma-70 family RNA polymerase sigma factor""","protein_id=""WP_011553704.1"" ",
gene=complement(4400583..4401221),"locus_tag=""MXAN_RS17885""","old_locus_tag=""MXAN_3687""","locus_tag=""MXAN_RS17885""","old_locus_tag=""MXAN_3687""",codon_start=1,transl_table=11,"product=""pentapeptide repeat-containing protein""","protein_id=""WP_011553705.1"" ",
gene=complement(4401283..4401639),"locus_tag=""MXAN_RS17890""","old_locus_tag=""MXAN_3688""","locus_tag=""MXAN_RS17890""","old_locus_tag=""MXAN_3688""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_011553706.1"" ",
gene=4401834..4402532,"locus_tag=""MXAN_RS17895""","old_locus_tag=""MXAN_3689""","locus_tag=""MXAN_RS17895""","old_locus_tag=""MXAN_3689""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_011553707.1"" ",
gene=4402545..4403504,"locus_tag=""MXAN_RS17900""","old_locus_tag=""MXAN_3690""","locus_tag=""MXAN_RS17900""","old_locus_tag=""MXAN_3690""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_011553708.1"" ",
gene=complement(4403668..4404597),"locus_tag=""MXAN_RS17905""","old_locus_tag=""MXAN_3691""","locus_tag=""MXAN_RS17905""","old_locus_tag=""MXAN_3691""",codon_start=1,transl_table=11,"product=""DUF4382 domain-containing protein""","protein_id=""WP_216608552.1"" ",
gene=complement(4404733..4406118),"locus_tag=""MXAN_RS17910""","old_locus_tag=""MXAN_3692""","locus_tag=""MXAN_RS17910""","old_locus_tag=""MXAN_3692""",codon_start=1,transl_table=11,"product=""sigma 54-interacting transcriptional regulator""","protein_id=""WP_020478142.1"" ",
gene=4406207..4408096,"locus_tag=""MXAN_RS17915""","old_locus_tag=""MXAN_3693""","locus_tag=""MXAN_RS17915""","old_locus_tag=""MXAN_3693""",codon_start=1,transl_table=11,"protein_id=""WP_043612728.1"" ",,
gene=4408287..4410341,"locus_tag=""MXAN_RS17920""","old_locus_tag=""MXAN_3694""","locus_tag=""MXAN_RS17920""","old_locus_tag=""MXAN_3694""",codon_start=1,transl_table=11,"product=""alpha-amylase family glycosyl hydrolase""","protein_id=""WP_225909270.1"" ",
gene=complement(4410401..4410610),"locus_tag=""MXAN_RS17925""","old_locus_tag=""MXAN_3695""","locus_tag=""MXAN_RS17925""","old_locus_tag=""MXAN_3695""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_011553713.1"" ",
gene=4410840..4411115,"locus_tag=""MXAN_RS17930""","old_locus_tag=""MXAN_3696""","locus_tag=""MXAN_RS17930""","old_locus_tag=""MXAN_3696""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_020478140.1"" ",
gene=4411178..4411906,"locus_tag=""MXAN_RS17935""","old_locus_tag=""MXAN_3697""","locus_tag=""MXAN_RS17935""","old_locus_tag=""MXAN_3697""",codon_start=1,transl_table=11,"product=""PHP domain-containing protein""","protein_id=""WP_011553715.1"" ",
gene=complement(4411928..4412674),"locus_tag=""MXAN_RS17940""","old_locus_tag=""MXAN_3698""","locus_tag=""MXAN_RS17940""","old_locus_tag=""MXAN_3698""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_011553716.1"" ",
gene=complement(4412999..4413316),"locus_tag=""MXAN_RS36855""","old_locus_tag=""MXAN_3699""","locus_tag=""MXAN_RS36855""","old_locus_tag=""MXAN_3699""",codon_start=1,transl_table=11,"product=""FmdB family zinc ribbon protein""","protein_id=""WP_011553717.1"" ",
gene=complement(4413346..4414500),"locus_tag=""MXAN_RS17950""","old_locus_tag=""MXAN_3701""","locus_tag=""MXAN_RS17950""","old_locus_tag=""MXAN_3701""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_225909271.1"" ",
gene=4414943..4415425,"locus_tag=""MXAN_RS17955""","old_locus_tag=""MXAN_3702""","locus_tag=""MXAN_RS17955""","old_locus_tag=""MXAN_3702""",codon_start=1,transl_table=11,"product=""Fur family transcriptional regulator""","protein_id=""WP_026114133.1"" ",
gene=4415431..4415946,"locus_tag=""MXAN_RS17960""","old_locus_tag=""MXAN_3703""","locus_tag=""MXAN_RS17960""","old_locus_tag=""MXAN_3703""",codon_start=1,transl_table=11,"product=""TlpA disulfide reductase family protein""","protein_id=""WP_011553720.1"" ",
gene=4416021..4416302,"locus_tag=""MXAN_RS17965""","old_locus_tag=""MXAN_3704""","locus_tag=""MXAN_RS17965""","old_locus_tag=""MXAN_3704""",codon_start=1,transl_table=11,"product=""septum formation initiator family protein""","protein_id=""WP_011553721.1"" ",
gene=4416299..4418467,"locus_tag=""MXAN_RS17970""","old_locus_tag=""MXAN_3705""","locus_tag=""MXAN_RS17970""","old_locus_tag=""MXAN_3705""",codon_start=1,transl_table=11,"product=""diguanylate cyclase""","protein_id=""WP_020478137.1"" ",
gene=complement(4418529..4420775),"locus_tag=""MXAN_RS17975""","old_locus_tag=""MXAN_3706""","locus_tag=""MXAN_RS17975""","old_locus_tag=""MXAN_3706""",codon_start=1,transl_table=11,"product=""di-heme oxidoredictase family protein""","protein_id=""WP_043612724.1"" ",
